"","Filename","Observations","ChiSqM_Value","ChiSqM_DF","CFI","RMSEA_Estimate","Country","Model"
"1","pol_ab_ee_config.out",601,685.339,15,0.691,0.273,"Estonia","Configural"
"2","pol_ab_ee_metric.out",601,695.859,18,0.688,0.25,"Estonia","Metric"
"3","pol_ab_ee_scalar.out",601,704.253,22,0.686,0.227,"Estonia","Scalar"
"4","pol_ab_gb_config.out",633,450.021,15,0.767,0.214,"UK","Configural"
"5","pol_ab_gb_metric.out",633,455.36,18,0.765,0.196,"UK","Metric"
"6","pol_ab_gb_scalar.out",633,490.288,22,0.749,0.183,"UK","Scalar"
"7","pol_ab_si_config.out",615,668.955,15,0.659,0.266,"Slovenia","Configural"
"8","pol_ab_si_metric.out",615,688.545,18,0.65,0.246,"Slovenia","Metric"
"9","pol_ab_si_scalar.out",615,705.565,22,0.643,0.225,"Slovenia","Scalar"
"10","pol_part_ee_config.out",601,93.747,47,0.93,0.041,"Estonia","Configural"
"11","pol_part_ee_metric.out",601,92.985,52,0.938,0.036,"Estonia","Metric"
"12","pol_part_ee_scalar.out",601,112.374,58,0.918,0.039,"Estonia","Scalar"
"13","pol_part_gb_config.out",633,113.869,47,0.969,0.047,"UK","Configural"
"14","pol_part_gb_metric.out",633,118.272,52,0.97,0.045,"UK","Metric"
"15","pol_part_gb_scalar.out",633,141.581,58,0.962,0.048,"UK","Scalar"
"16","pol_part_si_config.out",615,91.94,47,0.958,0.039,"Slovenia","Configural"
"17","pol_part_si_metric.out",615,88.326,52,0.966,0.034,"Slovenia","Metric"
"18","pol_part_si_scalar.out",615,104.463,58,0.957,0.036,"Slovenia","Scalar"
"19","soc_ben_ee_config.out",601,278.653,15,0.64,0.171,"Estonia","Configural"
"20","soc_ben_ee_metric.out",601,379.833,18,0.506,0.183,"Estonia","Metric"
"21","soc_ben_ee_scalar.out",601,410.832,22,0.469,0.171,"Estonia","Scalar"
"22","soc_ben_gb_config.out",633,222.632,15,0.799,0.148,"UK","Configural"
"23","soc_ben_gb_metric.out",633,226.891,18,0.798,0.135,"UK","Metric"
"24","soc_ben_gb_scalar.out",633,276.612,22,0.753,0.135,"UK","Scalar"
"25","soc_ben_si_config.out",615,410.708,15,0.546,0.207,"Slovenia","Configural"
"26","soc_ben_si_metric.out",615,421.26,18,0.537,0.191,"Slovenia","Metric"
"27","soc_ben_si_scalar.out",615,483.533,22,0.47,0.185,"Slovenia","Scalar"
"28","soc_trust_ee_config.out",555,37.46,15,0.989,0.052,"Estonia","Configural"
"29","soc_trust_ee_metric.out",555,39.17,19,0.991,0.044,"Estonia","Metric"
"30","soc_trust_ee_scalar.out",555,169.786,25,0.932,0.102,"Estonia","Scalar"
"31","soc_trust_gb_config.out",563,44.708,15,0.987,0.059,"UK","Configural"
"32","soc_trust_gb_metric.out",563,50.105,19,0.987,0.054,"UK","Metric"
"33","soc_trust_gb_scalar.out",563,109.291,25,0.964,0.077,"UK","Scalar"
"34","soc_trust_si_config.out",546,22.822,15,0.996,0.031,"Slovenia","Configural"
"35","soc_trust_si_metric.out",546,41.688,19,0.989,0.047,"Slovenia","Metric"
"36","soc_trust_si_scalar.out",546,151.201,25,0.938,0.096,"Slovenia","Scalar"
"37","trust_ee_config.out",600,967.686,47,0.822,0.181,"Estonia","Configural"
"38","trust_ee_metric.out",600,970.453,52,0.823,0.172,"Estonia","Metric"
"39","trust_ee_scalar.out",600,1109.111,58,0.797,0.174,"Estonia","Scalar"
"40","trust_gb_config.out",641,608.902,47,0.884,0.137,"UK","Configural"
"41","trust_gb_metric.out",641,630.366,52,0.881,0.132,"UK","Metric"
"42","trust_gb_scalar.out",641,777.396,58,0.852,0.139,"UK","Scalar"
"43","trust_si_config.out",571,795.265,47,0.843,0.167,"Slovenia","Configural"
"44","trust_si_metric.out",571,801.583,52,0.843,0.159,"Slovenia","Metric"
"45","trust_si_scalar.out",571,912.432,58,0.821,0.161,"Slovenia","Scalar"
