"","term","estimate","std.error","statistic","p.value","dep"
"1","cntrySI",-0.58422271384037,0.168833000831615,-3.46035852565958,0.000569477396496932,"diff_miss5"
"2","agea",-0.0094085474973391,0.00389749412355857,-2.41399914895798,0.0160170319523981,"diff_miss6"
"3","eduyrs",-0.0277866357237657,0.0100963900247396,-2.75213572927342,0.00606380842460363,"diff_var_polab"
"4","cntryGB",-0.210930044652712,0.0953575323099892,-2.21199143416399,0.0272679254077902,"diff_var_polab"
"5","w5main_device3",1.980993948855,0.697049201247644,2.8419714782102,0.00460511076766001,"diff_var_trust5"
"6","gndr2",1.01526618667796,0.292878712079144,3.4665072769222,0.000559521213457938,"diff_var_inst"
"7","cntrySI",-0.8717609230861,0.331860313702889,-2.62689115597769,0.00880571914210488,"diff_var_inst"
"8","w5main_device2",-0.860274975857162,0.354455694188775,-2.42703105059725,0.0154746565352182,"diff_var_inst"
"9","(Intercept)",1.42398276549501,0.40014142631515,3.55869867963505,0.00039621866593161,"diff_prim_trust5"
"10","tablet",-0.700284088375256,0.186233673981178,-3.76024417821468,0.000182994237452509,"diff_prim_trust5"
"11","agea",-0.00457959220246593,0.00204904723148425,-2.23498615946918,0.0257259206923078,"diff_prim_ben"
"12","cntrySI",0.324836809985349,0.108705793592707,2.9882198478071,0.00290855218179572,"diff_prim_inst"
"13","eduyrs",-0.0120982163110338,0.0056897986709604,-2.12629954250941,0.0338100615669962,"diff_rec_polab"
"14","gndr2",0.0608743434574875,0.0277627640323737,2.19266148667701,0.0286390797342514,"diff_rec_trust5"
"15","nr_surv",-0.0055229786006212,0.00272785247479802,-2.02466176292402,0.043256925014118,"diff_rec_trust5"
"16","eduyrs",-0.0210430082075166,0.00864143016181058,-2.43513027513811,0.0151295485405431,"diff_rec_ben"
"17","cntrySI",-0.160108493453476,0.0628021707276639,-2.54941018118263,0.0109978991654876,"diff_rec_ben"
"18","int_comf",0.0763971443396638,0.0339961655734375,2.24722826974804,0.0249291934013357,"diff_rec_ben"
